name,latitude,longitude,city,region,cuisine,price,url,rating
bar_crenn,37.798435,-122.43581,san_francisco,california,french,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1
spruce,37.78772,-122.45264,san_francisco,california,californian,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1
wako,37.783035,-122.461525,san_francisco,california,japanese,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,1
madcap,37.974712,-122.56168,san_francisco,california,contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1
aubergine,36.55406,-121.924355,monterey,california,contemporary,4,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1
kenzo,38.299240000000005,-122.28928,san_francisco,california,japanese,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,1
la_toque,38.30351,-122.28349,san_francisco,california,contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1
bouchon,38.40258,-122.3619,san_francisco,california,french,3,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1
auberge_du_soleil,38.49199,-122.40534,san_francisco,california,californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1
farmhouse_inn_restaurant,38.490390000000005,-122.8835,san_francisco,california,californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,1
the_kitchen,38.58894,-121.41424,sacramento,california,contemporary,4,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,1
madrona_manor,38.60428,-122.88647,san_francisco,california,contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1
harbor_house,39.135876,-123.719444,san_francisco,california,californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,1
shin_sushi,34.15784,-118.49415,los_angeles,california,japanese,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1
rustic_canyon,34.024952,-118.49118,los_angeles,california,californian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1
dialogue,34.01679,-118.49748,los_angeles,california,contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1
kato,34.041683,-118.460915,los_angeles,california,asian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1
cut,34.067036,-118.401024,los_angeles,california,steakhouse,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1
nozawa_bar,34.0683,-118.39849,los_angeles,california,japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1
shunji,34.028496000000004,-118.45195,los_angeles,california,japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1
maude,34.064346,-118.39904,los_angeles,california,contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1
mori_sushi,34.033398,-118.44229,los_angeles,california,japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1
trois_mec,34.084255,-118.33851,los_angeles,california,contemporary,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1
osteria_mozza,34.083420000000004,-118.338974,los_angeles,california,italian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1
kali,34.083443,-118.32455,los_angeles,california,californian,3,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1
le_comptoir,34.06354,-118.30057,los_angeles,california,californian,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1
q_sushi,34.046883,-118.255844,los_angeles,california,japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1
shibumi,34.044155,-118.256134,los_angeles,california,japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1
hayato,34.03311,-118.24265,los_angeles,california,japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1
bistro_na_s,34.104412,-118.07159,los_angeles,california,chinese,2,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1
orsa_winston,33.92145,-118.275406,los_angeles,california,fusion,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1
taco_maria,33.69475,-117.924965,costa_mesa,california,mexican,3,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1
hana_re,33.67759,-117.886566,costa_mesa,california,japanese,4,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1
addison,32.939903,-117.20013,san_diego,california,contemporary,4,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1
parachute,41.94483,-87.70638000000001,chicago,chicago,fusion,2,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1
goosefoot,41.96856,-87.69596,chicago,chicago,contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1
elizabeth,41.969555,-87.68873599999999,chicago,chicago,contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1
el_ideas,41.863,-87.68686,chicago,chicago,contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1
band_of_bohemia,41.967308,-87.67477,chicago,chicago,gastropub,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1
schwa,41.90888,-87.66792,chicago,chicago,contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,1
temporis,41.898907,-87.66725,chicago,chicago,contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,1
entente,41.93721,-87.6652,chicago,chicago,contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1
elske,41.884426,-87.66071,chicago,chicago,contemporary,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1
dusek_s_board_beer_,41.857853000000006,-87.65756999999999,chicago,chicago,gastropub,2,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1
roister,41.886658,-87.65187,chicago,chicago,contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1
boka,41.91363,-87.64806,chicago,chicago,contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1
blackbird,41.88423,-87.64356,chicago,chicago,contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1
sepia,41.88394,-87.64246999999999,chicago,chicago,american,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,1
north_pond,41.9296,-87.63762,chicago,chicago,contemporary,3,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,1
everest,41.87597,-87.63212,chicago,chicago,french,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,1
topolobampo,41.89047,-87.63085,chicago,chicago,mexican,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,1
spiaggia,41.90062,-87.62456999999999,chicago,chicago,italian,4,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,1
monte,45.08279,13.631168,rovinj,croatia,creative,5,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,1
draga_di_lovrana,45.275867,14.251401,lovran,croatia,modern,5,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,1
noel,45.811054,15.988205,zagreb,croatia,modern,5,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,1
pelegrini,43.73603,15.888903,sibenik,croatia,modern,5,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,1
three_hundred_sixty_degrees,42.641563,18.111523,dubrovnik,croatia,modern,5,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,1
field,50.0919,14.42193,praha,czech_republic,modern,5,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,1
la_degustation_boheme_bourgeoise,50.09115,14.42511,praha,czech_republic,modern,5,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise,1
gastrome,56.157880000000006,10.20937,aarhus,denmark,modern,3,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,1
domestic,56.158930000000005,10.212132,aarhus,denmark,modern,3,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic,1
substans,56.15415,10.20372,aarhus,denmark,modern,3,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/substans,1
frederikshj,56.12497,10.208638,aarhus,denmark,creative,4,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj,1
memu,55.70901,9.53302,vejle,denmark,modern,3,https://guide.michelin.com/dk/en/vejle/restaurant/me%E2%80%9Amu,1
ti_trin_ned,55.566590000000005,9.752689,fredericia,denmark,modern,3,https://guide.michelin.com/dk/en/southern-denmark/fredericia/restaurant/ti-trin-ned,1
slotskkkenet,55.771236,11.390805,hrve,denmark,creative,4,https://guide.michelin.com/dk/en/zealand/horve/restaurant/slotskokkenet,1
sllerd_kro,55.81325,12.49548,kbenhavn,denmark,modern,2,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/sollerod-kro,1
jordnr,55.748226,12.541014,kbenhavn,denmark,danish,3,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/jordnaer,1
rel,55.693233,12.543222,kbenhavn,denmark,modern,2,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/relae,1
kiin_kiin,55.691880000000005,12.55754,kbenhavn,denmark,thai,2,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kiin-kiin,1
formel_b,55.67031,12.53798,kbenhavn,denmark,modern,2,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/formel-b,1
kokkeriet,55.68768000000001,12.58492,kbenhavn,denmark,modern,3,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kokkeriet,1
clou,55.68342,12.58497,kbenhavn,denmark,modern,4,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/clou,1
marchal,55.68034,12.58508,kbenhavn,denmark,modern,2,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/marchal,1
kong_hans_klder,55.6787,12.584003,kbenhavn,denmark,french,4,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kong-hans-kaelder,1
stud_o_at_the_standard,55.67799,12.59191,kbenhavn,denmark,creative,3,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/stud-o-at-the-standard,1
108,55.67785,12.5980835,kbenhavn,denmark,modern,3,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108,1
era_ora,55.673004000000006,12.591292,kbenhavn,denmark,italian,2,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/era-ora,1
alouette,55.66265,12.57634,kbenhavn,denmark,modern,3,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/alouette,1
frederiksminde,55.12416999999999,12.04623,prst,denmark,creative,3,https://guide.michelin.com/dk/en/zealand/praesto/restaurant/frederiksminde,1
kadeau_bornholm,55.00457,14.969216,pedersker,denmark,creative,4,https://guide.michelin.com/dk/en/capital-region/pedersker/restaurant/kadeau-bornholm,1
ask,60.17236,24.95648,helsinki,finland,modern,3,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ask,1
gron,60.16446,24.93308,helsinki,finland,finnish,3,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/gron,1
demo,60.164806000000006,24.941635,helsinki,finland,modern,3,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/demo,1
olo,60.16616,24.947704,helsinki,finland,modern,3,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/olo,1
palace,60.16556,24.95256,helsinki,finland,modern,3,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/palace,1
